epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.04016882926225662,0.04139995947480202,0.05350358629435718,0.5516399250521957,0.025515908003178035,0.46614481802942304
2,0.024560144171118736,0.0286601223051548,0.08237816668093939,0.6986418404084695,0.17778322940509098,0.7265831730699123
3,0.028150158002972603,0.010449454188346863,0.13031544557084318,0.7924103013747684,0.1895273883220349,0.7019002024168257
4,0.01679214835166931,0.00826320517808199,0.1776383209440759,0.8404730499782979,0.2072998352573178,0.7801955430993784
5,0.02367975376546383,0.010547584854066372,0.22516402516401296,0.8815186629922229,0.2629635035776847,0.8164623775900602
6,0.015113548375666142,0.008869802579283714,0.2454646895869281,0.8961240813748002,0.23308915987730972,0.8156621880402353
7,0.011824618093669415,0.0293547585606575,0.27865112466016556,0.9093676408440955,0.274968736190843,0.821039318669716
8,0.014800123870372772,0.007831668481230736,0.30102026599977305,0.911448050677082,0.2550625660967473,0.8170332841181113
9,0.011846517212688923,0.012327238917350769,0.31744204986291696,0.9194172540437506,0.25979413211082375,0.8243417819803144
10,0.01615779474377632,0.01850677840411663,0.3349163640388369,0.9235001493097258,0.22299695222069957,0.8214719524000286
11,0.015967397019267082,0.008127044886350632,0.35009555549106613,0.9287122595997048,0.2632696448416286,0.818347739200024
12,0.01149068120867014,0.008391071110963821,0.36081227789385617,0.9303862760194306,0.27459138153239987,0.8321849524366637
13,0.00989619642496109,0.03599614277482033,0.3639677877920465,0.9329759310811554,0.2975662546091547,0.8226234927706573
14,0.010331698693335056,0.02986164391040802,0.3835325025284466,0.936166641031184,0.30154026798128136,0.8261395472207378
15,0.015334184281527996,0.008524858392775059,0.38600729292569874,0.9374033649981235,0.2685829361929566,0.8153837159795686
16,0.0184067003428936,0.01540130004286766,0.38811954321227715,0.9358317086781877,0.2747042026895768,0.832349950739543
17,0.010396275669336319,0.006224227603524923,0.40196818996848527,0.9396647367245327,0.31683984026867634,0.8294225431105727
18,0.008099340833723545,0.007722855545580387,0.40085874777849334,0.9396738555363275,0.309189524897674,0.8291062185765649
19,0.008090325631201267,0.016165629029273987,0.40492785862693326,0.9397863491898708,0.33079419424578926,0.8243098180619611
20,0.00984844658523798,0.0077818953432142735,0.4104273033189784,0.9414733459430897,0.34525586091168076,0.8307284898731414
21,0.009327574633061886,0.008566103875637054,0.41345077294846255,0.9400097493205918,0.31040992050143995,0.8277680388850401
22,0.009506617672741413,0.01246727630496025,0.4088419290062759,0.9414391238011057,0.33894882555829603,0.824679973990426
23,0.01034554187208414,0.005947702098637819,0.41122465047629303,0.9422213731810868,0.30277764825122383,0.8354357544397141
24,0.01226757187396288,0.010216943919658661,0.4177112589152257,0.9426351861980743,0.3292388041253416,0.8307243626874538
25,0.008061080239713192,0.008499279618263245,0.42008082057457913,0.9436491221810646,0.32799883235172783,0.831853901682006
